Topic,Articles
general,"['https://www.betterhelp.com/advice/general/5-positive-coping-skills-that-will-change-your-life/', 'https://www.betterhelp.com/advice/general/what-is-the-definition-of-empathy-and-why-does-empathy-matter/', 'https://www.betterhelp.com/advice/general/how-to-recognize-disorganized-speech-and-what-to-do-about-it/', 'https://www.betterhelp.com/advice/general/how-can-i-get-off-this-emotional-rollercoaster/', 'https://www.betterhelp.com/advice/general/definition-of-somatization-and-how-it-impacts-your-mental-health/', 'https://www.betterhelp.com/advice/general/7-healthy-coping-mechanism-tools-to-help-you-work-through-lifes-challenges/', 'https://www.betterhelp.com/advice/general/what-is-compassion-fatigue-and-how-to-overcome-it/', 'https://www.betterhelp.com/advice/general/i-hate-being-alone-how-to-be-more-comfortable-spending-time-by-yourself/', 'https://www.betterhelp.com/advice/general/types-of-dysregulation-definition-and-differences/', 'https://www.betterhelp.com/advice/general/im-scared-5-tips-to-help-you-cope-with-the-covid-19-pandemic/', 'https://www.betterhelp.com/advice/general/feeling-off-how-to-determine-what-the-problem-is/', 'https://www.betterhelp.com/advice/general/8-ways-to-participate-in-mental-health-awareness-month/']"
grief,"['https://www.betterhelp.com/advice/grief/how-to-cope-when-a-pet-dies/', 'https://www.betterhelp.com/advice/grief/what-to-do-when-a-beloved-pet-passes-away-grieving-the-loss-of-a-pet-after-euthanasia/', 'https://www.betterhelp.com/advice/grief/dealing-with-heartache-what-to-say-when-a-pet-dies/', 'https://www.betterhelp.com/advice/grief/10-tips-that-can-make-coping-with-loss-easier/', 'https://www.betterhelp.com/advice/grief/what-to-say-to-a-grieving-friend-5-tips-for-helping-a-friend-cope-with-grief/', 'https://www.betterhelp.com/advice/grief/how-to-process-complicated-grief-in-healthy-ways/', 'https://www.betterhelp.com/advice/grief/how-to-deal-with-grief-after-losing-someone-you-love/', 'https://www.betterhelp.com/advice/grief/understanding-emotional-agony-and-how-it-changes-us/', 'https://www.betterhelp.com/advice/grief/how-to-deal-with-intense-sadness-and-sorrow-after-a-death/', 'https://www.betterhelp.com/advice/grief/what-is-emotional-distress-an-overview/', 'https://www.betterhelp.com/advice/grief/what-is-psychological-distress-an-overview/', 'https://www.betterhelp.com/advice/grief/how-anguish-affects-you/']"
guilt,"['https://www.betterhelp.com/advice/guilt/how-to-stop-blaming-others-start-making-positive-changes-in-your-life/', 'https://www.betterhelp.com/advice/guilt/learning-to-cope-with-toxic-shame/', 'https://www.betterhelp.com/advice/guilt/dealing-with-guilt-definition-coping-mechanisms-and-prevention/', 'https://www.betterhelp.com/advice/guilt/forgiving-yourself-how-to-deal-with-guilt/', 'https://www.betterhelp.com/advice/guilt/guilt-quotes-to-help-you-overcome-and-move-on/', 'https://www.betterhelp.com/advice/guilt/aspects-of-the-war-guilt-clause-what-it-tells-us/', 'https://www.betterhelp.com/advice/guilt/18-guilt-synonyms-and-when-to-use-them/', 'https://www.betterhelp.com/advice/guilt/initiative-vs-guilt-a-stage-of-psychosocial-development/', 'https://www.betterhelp.com/advice/guilt/guilt-vs-shame-whats-the-difference-and-why-does-it-matter/', 'https://www.betterhelp.com/advice/guilt/first-steps-towards-overcoming-survivors-guilt/', 'https://www.betterhelp.com/advice/guilt/understanding-guilt-by-association/', 'https://www.betterhelp.com/advice/guilt/understanding-why-you-are-wracked-with-guilt/']"
happiness,"['https://www.betterhelp.com/advice/happiness/why-am-i-never-happy-how-to-determine-if-you-might-be-struggling-with-mental-illness/', 'https://www.betterhelp.com/advice/happiness/how-to-feel-happy-when-plans-change/', 'https://www.betterhelp.com/advice/happiness/joy-vs-happiness-whats-the-difference/', 'https://www.betterhelp.com/advice/happiness/the-key-to-happiness-what-you-should-seek-out-of-life/', 'https://www.betterhelp.com/advice/happiness/how-do-we-define-happiness-the-true-meaning-of-joy/', 'https://www.betterhelp.com/advice/happiness/how-to-be-happy-book-recommendations-that-can-help/', 'https://www.betterhelp.com/advice/happiness/happy-families-are-all-alike-myth-or-truth/', 'https://www.betterhelp.com/advice/happiness/happy-ending-stories-to-inspire-you/', 'https://www.betterhelp.com/advice/happiness/do-antidepressants-make-you-happy/', 'https://www.betterhelp.com/advice/happiness/peaceful-parent-happy-kids-what-it-takes-to-raise-well-adjusted-children-in-todays-world/', 'https://www.betterhelp.com/advice/happiness/how-happy-breakup-songs-can-help-you-move-forward/', 'https://www.betterhelp.com/advice/happiness/my-life-is-great-so-why-cant-i-be-happy/']"
how-to,"['https://www.betterhelp.com/advice/how-to/how-to-deal-with-anxiety-and-depression-when-you-dont-have-energy/', 'https://www.betterhelp.com/advice/how-to/how-to-handle-a-narcissist-and-protect-yourself/', 'https://www.betterhelp.com/advice/how-to/10-tips-for-how-to-deal-with-a-narcissist-boyfriend/', 'https://www.betterhelp.com/advice/how-to/how-to-spot-a-narcissist-5-things-to-look-for/', 'https://www.betterhelp.com/advice/how-to/how-to-give-someone-space-and-why-its-important/', 'https://www.betterhelp.com/advice/how-to/how-to-get-your-mind-off-something-the-best-ways-to-distract-a-run-away-brain/', 'https://www.betterhelp.com/advice/how-to/how-to-leave-a-narcissist-when-you-cant-make-it-work-any-longer/', 'https://www.betterhelp.com/advice/how-to/how-to-quit-smoking-7-tips-to-overcoming-the-addiction/', 'https://www.betterhelp.com/advice/how-to/seven-tips-on-how-to-improve-mental-health/', 'https://www.betterhelp.com/advice/how-to/how-to-deal-with-regret-moving-forward-from-the-past/', 'https://www.betterhelp.com/advice/how-to/how-to-quit-drinking-7-tips-to-help-you-kick-the-habit-for-good/', 'https://www.betterhelp.com/advice/how-to/how-to-help-someone-who-is-depressed-3-steps-to-make-a-difference/']"
huntington-disease,"['https://www.betterhelp.com/advice/huntington-disease/understanding-juvenile-huntingtons-disease/', 'https://www.betterhelp.com/advice/huntington-disease/what-is-the-prognosis-and-huntingtons-disease-life-expectancy/', 'https://www.betterhelp.com/advice/huntington-disease/what-is-the-huntingtons-disease-treatment/', 'https://www.betterhelp.com/advice/huntington-disease/what-is-huntingtons-disease-and-how-is-it-defined/', 'https://www.betterhelp.com/advice/huntington-disease/the-huntingtons-disease-symptoms-you-should-know/', 'https://www.betterhelp.com/advice/huntington-disease/huntingtons-disease-cause-what-is-it/', 'https://www.betterhelp.com/advice/huntington-disease/what-are-some-of-the-means-for-huntingtons-disease-diagnosis/', 'https://www.betterhelp.com/advice/huntington-disease/huntingtons-disease-facts-and-statistics/', 'https://www.betterhelp.com/advice/huntington-disease/how-the-huntingtons-disease-gene-affects-how-its-inherited/']"
impulse-control-disorder,"['https://www.betterhelp.com/advice/impulse-control-disorder/how-to-help-an-alcoholic-5-tips-to-make-recovery-easier-on-them/', 'https://www.betterhelp.com/advice/impulse-control-disorder/what-is-religious-ocd-and-can-it-be-treated/', 'https://www.betterhelp.com/advice/impulse-control-disorder/my-significant-other-has-control-issues-what-do-i-do/', 'https://www.betterhelp.com/advice/impulse-control-disorder/are-you-a-compulsive-gambler-here-are-the-signs/', 'https://www.betterhelp.com/advice/impulse-control-disorder/8-signs-of-internet-addiction/', 'https://www.betterhelp.com/advice/impulse-control-disorder/is-online-shopping-addiction-real/', 'https://www.betterhelp.com/advice/impulse-control-disorder/people-pleasing-learning-to-say-no-to-others/', 'https://www.betterhelp.com/advice/impulse-control-disorder/gambling-anonymous-is-it-as-effective-as-aa/', 'https://www.betterhelp.com/advice/impulse-control-disorder/what-is-skin-picking-disorder/', 'https://www.betterhelp.com/advice/impulse-control-disorder/what-does-ocd-look-like-how-to-spot-ocd-symptoms-and-treat-them/', 'https://www.betterhelp.com/advice/impulse-control-disorder/tapering-off-alcohol-how-it-works-and-how-it-can-work-for-you/', 'https://www.betterhelp.com/advice/impulse-control-disorder/is-addiction-a-choice-how-addictions-start-and-why-they-can-be-hard-to-stop/']"
intimacy,"['https://www.betterhelp.com/advice/intimacy/how-sexual-fetishism-can-impact-your-relationship/', 'https://www.betterhelp.com/advice/intimacy/when-should-you-seek-help-as-a-female-sex-addict/', 'https://www.betterhelp.com/advice/intimacy/what-is-post-coital-dysphoria/', 'https://www.betterhelp.com/advice/intimacy/what-can-i-do-to-alleviate-feelings-of-sexual-shame/', 'https://www.betterhelp.com/advice/intimacy/sexual-anorexia-why-am-i-so-afraid-of-sex/', 'https://www.betterhelp.com/advice/intimacy/learning-how-to-cope-with-female-orgasmic-disorder/', 'https://www.betterhelp.com/advice/intimacy/im-dating-a-sex-addict-what-can-i-do-to-help-my-partner/', 'https://www.betterhelp.com/advice/intimacy/7-tips-for-having-more-intimate-sex/', 'https://www.betterhelp.com/advice/intimacy/my-wife-has-no-desire-for-sex-what-can-i-do-to-improve-our-sex-lives/', 'https://www.betterhelp.com/advice/intimacy/what-are-the-signs-that-someone-has-a-sexual-addiction/', 'https://www.betterhelp.com/advice/intimacy/understanding-sex-addiction-symptoms-and-knowing-when-to-get-help/', 'https://www.betterhelp.com/advice/intimacy/what-is-sex-addiction-treatment-and-does-it-work/']"
loneliness,"['https://www.betterhelp.com/advice/loneliness/is-it-normal-to-feel-lonely-in-marriage/', 'https://www.betterhelp.com/advice/loneliness/why-do-i-always-feel-sad-and-lonely/', 'https://www.betterhelp.com/advice/loneliness/im-so-lonely-how-to-build-meaningful-social-connections/', 'https://www.betterhelp.com/advice/loneliness/im-married-and-lonely-what-do-i-do/', 'https://www.betterhelp.com/advice/loneliness/how-to-fight-the-loneliness-epidemic/', 'https://www.betterhelp.com/advice/loneliness/loneliness-quotes-for-support/', 'https://www.betterhelp.com/advice/loneliness/what-is-the-opposite-of-loneliness/', 'https://www.betterhelp.com/advice/loneliness/what-are-the-signs-of-loneliness-and-symptoms-you-shouldnt-ignore/', 'https://www.betterhelp.com/advice/loneliness/7-tips-for-how-to-deal-with-loneliness/', 'https://www.betterhelp.com/advice/loneliness/what-does-the-ucla-loneliness-scale-mean-for-my-life/', 'https://www.betterhelp.com/advice/loneliness/healing-for-the-brokenhearted-bible-verses-about-loneliness/', 'https://www.betterhelp.com/advice/loneliness/selection-of-the-best-loneliness-art/']"
love,"['https://www.betterhelp.com/advice/love/are-you-in-a-relationship-with-a-narcissist-here-are-6-narcissistic-love-patterns-to-watch-out-for/', 'https://www.betterhelp.com/advice/love/how-to-know-when-its-time-to-walk-away-from-love/', 'https://www.betterhelp.com/advice/love/what-is-the-love-hand-sign-expressing-love-in-different-ways-and-languages/', 'https://www.betterhelp.com/advice/love/is-he-truly-in-love-questions-you-can-ask-your-boyfriend-to-find-out/', 'https://www.betterhelp.com/advice/love/i-love-your-soul-the-power-of-intimate-connections/', 'https://www.betterhelp.com/advice/love/i-love-love-is-it-codependency-what-to-do-when-youre-addicted-to-love/', 'https://www.betterhelp.com/advice/love/attachment-styles-we-were-all-born-to-love/', 'https://www.betterhelp.com/advice/love/i-love-you-to-the-moon-and-back-origin-behind-the-phrase/', 'https://www.betterhelp.com/advice/love/how-to-love-who-you-are/', 'https://www.betterhelp.com/advice/love/im-going-to-love-you-forever-how-to-build-a-lasting-bond/', 'https://www.betterhelp.com/advice/love/i-love-smoking-so-why-should-i-stop/', 'https://www.betterhelp.com/advice/love/does-he-really-love-the-other-woman-coming-to-terms-with-infidelity/']"
marriage,"['https://www.betterhelp.com/advice/marriage/when-is-it-time-to-divorce-learning-when-to-call-it-quits/', 'https://www.betterhelp.com/advice/marriage/10-tips-for-coping-with-divorce/', 'https://www.betterhelp.com/advice/marriage/7-tips-on-how-to-deal-with-a-narcissist-husband/', 'https://www.betterhelp.com/advice/marriage/4-narcissistic-marriage-problems-to-watch-out-for/', 'https://www.betterhelp.com/advice/marriage/why-couples-are-using-free-marriage-counseling-online-to-save-their-primary-relationships/', 'https://www.betterhelp.com/advice/marriage/marriage-statistics-do-marriages-really-last/', 'https://www.betterhelp.com/advice/marriage/building-a-good-marriage-with-your-spouse/', 'https://www.betterhelp.com/advice/marriage/marriage-today-why-get-married/', 'https://www.betterhelp.com/advice/marriage/marriage-advice-to-cherish-to-file-away-and-to-ignore/', 'https://www.betterhelp.com/advice/marriage/living-together-before-marriage-is-it-worth-it/', 'https://www.betterhelp.com/advice/marriage/10-common-marriage-problems-and-how-to-deal-with-them/', 'https://www.betterhelp.com/advice/marriage/are-you-in-an-unhappy-marriage-therapy-can-help/']"
medication,"['https://www.betterhelp.com/advice/medication/is-wellbutrin-an-ssri/', 'https://www.betterhelp.com/advice/medication/what-is-the-difference-between-an-ssri-and-an-snri/', 'https://www.betterhelp.com/advice/medication/can-taking-an-ssri-for-anxiety-help/', 'https://www.betterhelp.com/advice/medication/safe-ways-to-handle-ssri-withdrawal/', 'https://www.betterhelp.com/advice/medication/what-is-ssri-everything-you-need-to-know/', 'https://www.betterhelp.com/advice/medication/what-does-dopamine-do-in-the-brain-and-what-is-its-function/', 'https://www.betterhelp.com/advice/medication/6-ssri-drugs-and-how-they-work/', 'https://www.betterhelp.com/advice/medication/14-common-ssri-side-effects/', 'https://www.betterhelp.com/advice/medication/dopamine-addiction-what-is-it-and-how-to-overcome-it/', 'https://www.betterhelp.com/advice/medication/do-dopamine-supplements-really-work/', 'https://www.betterhelp.com/advice/medication/where-is-oxytocin-produced-in-the-body/', 'https://www.betterhelp.com/advice/medication/what-is-dopamine-and-how-does-it-affect-the-brain-and-the-body/']"
memory,"['https://www.betterhelp.com/advice/memory/12-tips-on-improving-memory/', 'https://www.betterhelp.com/advice/memory/improve-your-memory-with-these-5-memory-boosting-exercises/', 'https://www.betterhelp.com/advice/memory/what-are-the-three-stages-of-memory/', 'https://www.betterhelp.com/advice/memory/using-chunking-memory-to-improve-your-memory-retention/', 'https://www.betterhelp.com/advice/memory/what-can-priming-memory-help-us-with/', 'https://www.betterhelp.com/advice/memory/what-is-lost-time-memory-and-how-does-it-affect-us/', 'https://www.betterhelp.com/advice/memory/what-can-the-persistence-of-memory-tell-us/', 'https://www.betterhelp.com/advice/memory/how-can-institutional-memory-affect-us/', 'https://www.betterhelp.com/advice/memory/what-can-transactive-memory-tell-us/', 'https://www.betterhelp.com/advice/memory/what-can-verbal-memory-help-us-remember/', 'https://www.betterhelp.com/advice/memory/how-does-secondary-memory-affect-our-lives/', 'https://www.betterhelp.com/advice/memory/differences-between-prospective-memory-and-retrospective/']"
menopause,"['https://www.betterhelp.com/advice/menopause/menopause-and-depression-overcoming-one-of-the-most-common-symptoms-of-menopause/', 'https://www.betterhelp.com/advice/menopause/what-are-the-reasons-for-surgical-menopause/', 'https://www.betterhelp.com/advice/menopause/what-are-the-signs-of-early-menopause/', 'https://www.betterhelp.com/advice/menopause/how-to-fight-menopause-weight-gain/', 'https://www.betterhelp.com/advice/menopause/the-connection-between-menopause-and-anxiety/', 'https://www.betterhelp.com/advice/menopause/yes-sex-after-menopause-is-still-possible/', 'https://www.betterhelp.com/advice/menopause/what-is-menopause-and-when-does-it-happen/', 'https://www.betterhelp.com/advice/menopause/does-male-menopause-exist-what-are-the-signs/', 'https://www.betterhelp.com/advice/menopause/what-does-it-mean-if-youre-bleeding-after-menopause/', 'https://www.betterhelp.com/advice/menopause/all-about-menopause-menopause-age-duration-symptoms-and-more/', 'https://www.betterhelp.com/advice/menopause/16-most-common-menopause-treatments/', 'https://www.betterhelp.com/advice/menopause/31-most-common-menopause-symptoms/']"
midlife-crisis,"['https://www.betterhelp.com/advice/midlife-crisis/what-is-an-existential-crisis-and-how-can-it-be-resolved/', 'https://www.betterhelp.com/advice/midlife-crisis/what-is-a-mid-life-crisis-what-you-need-to-know/']"
mindfulness,"['https://www.betterhelp.com/advice/mindfulness/the-top-six-mental-health-benefits-of-exercise/', 'https://www.betterhelp.com/advice/mindfulness/ways-to-improve-mental-health-through-self-care/', 'https://www.betterhelp.com/advice/mindfulness/11-mental-health-activities-that-encourage-emotional-wellness/', 'https://www.betterhelp.com/advice/mindfulness/five-healthy-coping-skills-for-facing-setbacks/', 'https://www.betterhelp.com/advice/mindfulness/why-is-emotional-wellness-so-important/', 'https://www.betterhelp.com/advice/mindfulness/what-is-self-care-techniques-and-methods-for-mental-emotional-and-physical-well-being/', 'https://www.betterhelp.com/advice/mindfulness/the-eight-dimensions-of-wellness-learning-balance-in-life/', 'https://www.betterhelp.com/advice/mindfulness/feeling-stressed-and-anxious-you-may-need-an-emotional-release/', 'https://www.betterhelp.com/advice/mindfulness/is-being-mindful-important-in-college/', 'https://www.betterhelp.com/advice/mindfulness/what-is-self-care-and-how-to-practice-it/', 'https://www.betterhelp.com/advice/mindfulness/seven-benefits-of-exercise/', 'https://www.betterhelp.com/advice/mindfulness/why-should-you-read-a-mindfulness-book/']"
monogamy,"['https://www.betterhelp.com/advice/monogamy/everything-you-need-to-know-about-monogamy-vs-polygamy/', 'https://www.betterhelp.com/advice/monogamy/what-is-ethical-non-monogamy/', 'https://www.betterhelp.com/advice/monogamy/monogamy-how-is-it-defined/', 'https://www.betterhelp.com/advice/monogamy/understanding-serial-monogamy/']"
morality,"['https://www.betterhelp.com/advice/morality/does-virtual-morality-have-an-effect-on-us/', 'https://www.betterhelp.com/advice/morality/what-can-the-wheel-of-morality-tell-us/', 'https://www.betterhelp.com/advice/morality/what-can-blue-and-orange-morality-tell-us/', 'https://www.betterhelp.com/advice/morality/how-does-heteronomous-morality-differ-from-autonomous-morality/', 'https://www.betterhelp.com/advice/morality/what-is-slave-morality/', 'https://www.betterhelp.com/advice/morality/morality-quotes-to-help-us-better-understand-ourselves/', 'https://www.betterhelp.com/advice/morality/what-can-we-learn-from-peter-singers-famine-affluence-and-morality/', 'https://www.betterhelp.com/advice/morality/what-can-a-morality-test-teach-us/', 'https://www.betterhelp.com/advice/morality/what-are-some-aspects-of-master-morality/', 'https://www.betterhelp.com/advice/morality/what-is-pre-conventional-morality/', 'https://www.betterhelp.com/advice/morality/an-overview-of-victorian-morality/', 'https://www.betterhelp.com/advice/morality/the-battle-between-morality-vs-ethics-which-one-wins/']"
motivation,"['https://www.betterhelp.com/advice/motivation/a-selection-of-the-best-motivation-memes-and-how-to-create-your-own/', 'https://www.betterhelp.com/advice/motivation/christian-motivation-during-the-tough-times/', 'https://www.betterhelp.com/advice/motivation/basketball-motivation-using-motivation-techniques-from-sports-and-life/', 'https://www.betterhelp.com/advice/motivation/crafting-a-great-lettre-de-motivation/', 'https://www.betterhelp.com/advice/motivation/military-motivation-special-challenges-and-techniques/', 'https://www.betterhelp.com/advice/motivation/motivation-funny-to-get-you-through-the-day/', 'https://www.betterhelp.com/advice/motivation/common-causes-of-lack-of-motivation-and-how-to-overcome-them/', 'https://www.betterhelp.com/advice/motivation/tips-to-find-achievement-motivation-and-success/', 'https://www.betterhelp.com/advice/motivation/the-truth-about-optimism-the-definition-and-example/', 'https://www.betterhelp.com/advice/motivation/ted-talks-for-motivation/', 'https://www.betterhelp.com/advice/motivation/improving-depression-motivation-techniques/', 'https://www.betterhelp.com/advice/motivation/monday-motivation-to-start-the-week-off-right/']"
neuroticism,"['https://www.betterhelp.com/advice/neuroticism/understanding-neurotic-disorders/', 'https://www.betterhelp.com/advice/neuroticism/what-is-the-neuroticism-test/', 'https://www.betterhelp.com/advice/neuroticism/how-to-tell-if-youre-neurotic/', 'https://www.betterhelp.com/advice/neuroticism/20-examples-of-neurotic-behavior/', 'https://www.betterhelp.com/advice/neuroticism/what-it-means-to-be-neurotic-the-contributing-factors/']"
optimism,"['https://www.betterhelp.com/advice/optimism/what-does-his-smile-and-optimism-gone-mean/', 'https://www.betterhelp.com/advice/optimism/the-optimism-definition-how-to-be-more-optimistic/', 'https://www.betterhelp.com/advice/optimism/optimism-quotes-to-make-your-day/', 'https://www.betterhelp.com/advice/optimism/20-methods-to-learn-optimism/', 'https://www.betterhelp.com/advice/optimism/what-is-optimism-bias-and-whats-the-harm-in-it/', 'https://www.betterhelp.com/advice/optimism/7-tips-to-increase-your-optimism-why-its-important/']"
panic-attacks,"['https://www.betterhelp.com/advice/panic-attacks/what-to-do-when-panic-attacks-happen-in-public/', 'https://www.betterhelp.com/advice/panic-attacks/panic-attack-signs-what-to-watch-for-and-when-to-seek-help/', 'https://www.betterhelp.com/advice/panic-attacks/what-happens-during-a-panic-attack-mental-and-physical-responses/', 'https://www.betterhelp.com/advice/panic-attacks/is-a-feeling-of-dread-a-sign-of-something-more-serious/', 'https://www.betterhelp.com/advice/panic-attacks/what-is-a-panic-attack/', 'https://www.betterhelp.com/advice/panic-attacks/how-to-treat-panic-attacks-and-manage-them/', 'https://www.betterhelp.com/advice/panic-attacks/what-causes-panic-attacks-and-how-can-you-stop-them/', 'https://www.betterhelp.com/advice/panic-attacks/learn-how-to-stop-a-panic-attack-in-its-tracks/', 'https://www.betterhelp.com/advice/panic-attacks/identifying-the-symptoms-of-panic-attack/', 'https://www.betterhelp.com/advice/panic-attacks/panic-attack-what-to-do-when-it-happens/', 'https://www.betterhelp.com/advice/panic-attacks/how-to-calm-down-from-a-panic-attack/', 'https://www.betterhelp.com/advice/panic-attacks/the-panic-attack-what-it-is-how-it-feels-and-dealing-with-it/']"
paranoia,"['https://www.betterhelp.com/advice/paranoia/11-most-common-paranoia-treatment/', 'https://www.betterhelp.com/advice/paranoia/what-can-a-paranoia-test-tell-us/', 'https://www.betterhelp.com/advice/paranoia/20-most-common-paranoia-symptoms/', 'https://www.betterhelp.com/advice/paranoia/finding-a-paranoia-definition-that-makes-sense-in-todays-world/', 'https://www.betterhelp.com/advice/paranoia/what-is-a-paranoia-test-why-is-it-needed/']"
parenting,"['https://www.betterhelp.com/advice/parenting/parenting-tips-for-the-first-time-parent/', 'https://www.betterhelp.com/advice/parenting/single-parenting-the-struggle-is-real/', 'https://www.betterhelp.com/advice/parenting/parenting-teenagers-tips-to-help-through-the-teen-years/', 'https://www.betterhelp.com/advice/parenting/what-is-co-parenting-the-pros-and-cons-to-consider/', 'https://www.betterhelp.com/advice/parenting/resources-for-parenting-articles-books-and-websites/', 'https://www.betterhelp.com/advice/parenting/good-parenting-practices-and-tips/', 'https://www.betterhelp.com/advice/parenting/what-is-gentle-parenting/', 'https://www.betterhelp.com/advice/parenting/what-is-permissive-parenting-definition-pros-and-cons/', 'https://www.betterhelp.com/advice/parenting/what-is-peaceful-parenting/', 'https://www.betterhelp.com/advice/parenting/looking-for-some-parenting-advice-8-tips-from-experts/', 'https://www.betterhelp.com/advice/parenting/what-is-attachment-parenting/', 'https://www.betterhelp.com/advice/parenting/how-parenting-styles-psychology-helps-to-shape-your-child/']"
personality,"['https://www.betterhelp.com/advice/personality/7-types-of-narcissists-and-what-to-look-for/', 'https://www.betterhelp.com/advice/personality/help-my-narcissist-husband-makes-me-feel-trapped/', 'https://www.betterhelp.com/advice/personality/symptoms-of-narcissism-what-to-watch-out-for/', 'https://www.betterhelp.com/advice/personality/passive-aggressive-behavior-what-it-looks-like-and-how-to-stop-it/', 'https://www.betterhelp.com/advice/personality/five-traits-of-a-narcissist/', 'https://www.betterhelp.com/advice/personality/what-does-narcissist-mean-in-psychology/', 'https://www.betterhelp.com/advice/personality/entj-personality-type-the-commander/', 'https://www.betterhelp.com/advice/personality/about-the-enfp-the-campaigner/', 'https://www.betterhelp.com/advice/personality/what-the-four-letter-personality-test-says-about-you/', 'https://www.betterhelp.com/advice/personality/is-helicopter-parenting-a-bad-thing/', 'https://www.betterhelp.com/advice/personality/all-about-intp-personality-type/', 'https://www.betterhelp.com/advice/personality/estj-personality-traits/']"
personality-disorders,"['https://www.betterhelp.com/advice/personality-disorders/dsm-5-bpd-signs-and-symptoms/', 'https://www.betterhelp.com/advice/personality-disorders/schizoid-personality-disorder-dsm-signs-and-symptoms/', 'https://www.betterhelp.com/advice/personality-disorders/dependent-personality-disorder-dsm-5-signs-and-symptoms/', 'https://www.betterhelp.com/advice/personality-disorders/what-is-a-narcissistic-personality-knowing-the-signs-and-symptoms/', 'https://www.betterhelp.com/advice/personality-disorders/the-5-most-common-symptoms-of-borderline-personality-disorder/', 'https://www.betterhelp.com/advice/personality-disorders/compulsive-talking-personality-disorder-or-idiosyncrasy/', 'https://www.betterhelp.com/advice/personality-disorders/13-signs-you-might-have-an-addictive-personality/', 'https://www.betterhelp.com/advice/personality-disorders/bpd-treatment-how-to-navigate-the-disorder/', 'https://www.betterhelp.com/advice/personality-disorders/histrionic-personality-disorder-treatment-does-it-work/', 'https://www.betterhelp.com/advice/personality-disorders/what-are-histrionic-personality-disorders/', 'https://www.betterhelp.com/advice/personality-disorders/how-to-live-with-a-narcissist-what-you-should-know/', 'https://www.betterhelp.com/advice/personality-disorders/pathological-narcissism-how-to-identify-the-signs/']"
persuasion,"['https://www.betterhelp.com/advice/persuasion/how-to-rise-above-indecisiveness/', 'https://www.betterhelp.com/advice/persuasion/gentle-persuasion-subtle-ways-to-get-what-you-want/', 'https://www.betterhelp.com/advice/persuasion/21-persuasion-techniques-to-help-you-get-what-you-want-most/', 'https://www.betterhelp.com/advice/persuasion/the-art-of-persuasion-what-it-is-and-how-to-practice-it/', 'https://www.betterhelp.com/advice/persuasion/what-can-we-learn-from-the-persuasion-definition/', 'https://www.betterhelp.com/advice/persuasion/what-can-friendly-persuasion-do-for-us-and-how-to-accomplish-it/', 'https://www.betterhelp.com/advice/persuasion/what-can-pretty-persuasion-do-for-us/', 'https://www.betterhelp.com/advice/persuasion/what-is-the-persuasion-definition/', 'https://www.betterhelp.com/advice/persuasion/what-can-we-learn-from-central-route-persuasion/', 'https://www.betterhelp.com/advice/persuasion/what-is-straight-line-persuasion/']"
pessimism,"['https://www.betterhelp.com/advice/pessimism/ive-lost-control-of-my-life-how-to-take-back-control-and-lead-the-life-you-want/', 'https://www.betterhelp.com/advice/pessimism/7-ways-to-stop-feeling-hopeless/', 'https://www.betterhelp.com/advice/pessimism/what-is-defensive-pessimism-and-is-it-healthy/', 'https://www.betterhelp.com/advice/pessimism/pessimism-definition-4-ways-a-bad-attitude-can-hurt-you/', 'https://www.betterhelp.com/advice/pessimism/feeling-worthless-and-what-to-do-about-it/']"
pheromones,[]
phobias,"['https://www.betterhelp.com/advice/phobias/monsters-in-the-dark-understanding-teraphobia/', 'https://www.betterhelp.com/advice/phobias/phobia-definition-symptoms-and-treatments/', 'https://www.betterhelp.com/advice/phobias/what-to-know-about-the-fear-of-women/', 'https://www.betterhelp.com/advice/phobias/can-people-really-have-a-fear-of-long-words/', 'https://www.betterhelp.com/advice/phobias/coping-with-the-fear-of-blood/', 'https://www.betterhelp.com/advice/phobias/what-is-aichmophobia/', 'https://www.betterhelp.com/advice/phobias/phobophobia-causes-effects-and-treatment/', 'https://www.betterhelp.com/advice/phobias/how-to-cope-with-a-fear-of-crowds/', 'https://www.betterhelp.com/advice/phobias/arachibutyrophobia-when-food-causes-fear/', 'https://www.betterhelp.com/advice/phobias/what-people-dont-understand-about-xanthophobia/', 'https://www.betterhelp.com/advice/phobias/spectrophobia-the-fear-of-mirrors-and-what-it-means/', 'https://www.betterhelp.com/advice/phobias/understanding-and-coping-with-a-fear-of-cats/']"
pornography,"['https://www.betterhelp.com/advice/pornography/am-i-addicted-to-porn-how-to-determine-if-you-have-a-problem/', 'https://www.betterhelp.com/advice/pornography/understanding-porn-addiction-side-effects/', 'https://www.betterhelp.com/advice/pornography/tips-for-dealing-with-porn-withdrawal-when-youre-trying-to-break-the-habit/', 'https://www.betterhelp.com/advice/pornography/is-porn-healthy-or-is-it-simply-bad-for-you/', 'https://www.betterhelp.com/advice/pornography/negative-pornography-effects-studies-the-bad-in-marriage-and-on-the-brain/', 'https://www.betterhelp.com/advice/pornography/how-to-manage-pornography-addiction/']"
